SchoolN,State Name,State Abbr,School Name,Agency Name,School Type,Locale,Total Students All Grades (Excludes AE),Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Total Race/Ethnicity,American Indian/Alaska Native Students,Pupil/Teacher Ratio,Full-Time Equivalent Teachers
JOHNNYCAKE ELEMENTARY,Maryland,MD ,Johnnycake Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,717,79,156,407,40,–,30,717,5,15.03,47.70
JOHNSTON SQUARE ELEMENTARY,Maryland,MD ,Johnston Square Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,284,–,4,273,3,2,1,284,1,14.95,19.00
JONATHAN HAGER ELEMENTARY,MARYLAND,MD ,Jonathan Hager Elementary,Washingtion County Public Schools,1-Regular school,13-City: Small,371,8,48,118,143,2,47,371,5,13.74,27.00
JONES ELEMENTARY,Maryland,MD ,Jones Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,307,22,16,14,238,–,17,307,–,13.77,22.30
JONES LANE ELEMENTARY,MARYLAND,MD ,Jones Lane Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,420,45,120,41,184,2,27,420,1,15.50,27.10
JOPPA VIEW ELEMENTARY,Maryland,MD ,Joppa View Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,801,149,35,212,359,–,44,801,2,17.34,46.20
JOPPATOWNE ELEMENTARY,Maryland,MD ,Joppatowne Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,594,12,46,147,354,1,33,594,1,15.90,37.35
JOPPATOWNE HIGH,Maryland,MD ,Joppatowne High,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,763,8,81,395,212,2,56,763,9,14.06,54.25
JOSEPH C. BRISCOE ACADEMY,Maryland,MD ,Joseph C. Briscoe Academy,Baltimore City Public Schools,2-Special education school,11-City: Large,79,–,1,70,8,–,–,79,–,3.76,21.00
JUDGE SYLVANIA W. WOODS SR. ELEMENTARY,Maryland,MD ,Judge Sylvania W. Woods Sr. Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,757,7,431,295,19,–,3,757,2,15.07,50.24
JUDITH A. RESNIK ELEMENTARY,Maryland,MD ,Judith A. Resnik Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,640,76,250,190,90,–,32,640,2,13.79,46.40
JUDITH P. HOYER MONTESSORI,Maryland,MD ,Judith P. Hoyer Montessori,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,377,12,17,302,39,1,5,377,1,14.23,26.50
JULIUS WEST MIDDLE,Maryland,MD ,Julius West Middle,Montgomery County Public Schools,1-Regular school,13-City: Small,1317,230,346,216,445,1,76,1317,3,15.68,84.00
KATHERINE JOHNSON GLOBAL ACADEMY,Maryland,MD ,Calverton Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,439,1,17,416,4,–,1,439,–,12.91,34.00
KEMP MILL ELEMENTARY,Maryland,MD ,Kemp Mill Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,491,7,381,74,23,1,5,491,–,11.37,43.20
KEMPTOWN ELEMENTARY,Maryland,MD ,Kemptown Elementary,Frederick County Public Schools,1-Regular school,21-Suburb: Large,404,13,42,17,307,–,24,404,1,17.99,22.46
KENILWORTH ELEMENTARY,Maryland,MD ,Kenilworth Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,371,15,69,165,102,2,18,371,–,12.62,29.40
KENMOOR EARLY CHILDHOOD CENTER,MARYLAND,MD ,Kenmoor Early Childhood Center,Prince George's County Public Schools,2-Special education school,21-Suburb: Large,227,5,98,110,10,1,1,227,2,6.88,33.00
KENMOOR MIDDLE,Maryland,MD ,Kenmoor Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,928,49,197,627,44,1,6,928,4,12.46,74.50
KENMORE ELEMENTARY,Maryland,MD ,Kenmore Elementary,Cecil County Public Schools,1-Regular school,41-Rural: Fringe,309,–,36,8,246,–,19,309,–,13.26,23.30
KENNARD ELEMENTARY SCHOOL,Maryland,MD ,Kennard Elementary School,Queen Anne's County Public Schools,1-Regular school,31-Town: Fringe,499,4,27,22,423,–,23,499,–,16.63,30.00
KENSINGTON PARKWOOD ELEMENTARY,Maryland,MD ,Kensington Parkwood Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,656,50,83,36,426,–,60,656,1,18.48,35.50
KENT COUNTY HIGH,Maryland,MD ,Kent County High,Kent County Public Schools,1-Regular school,42-Rural: Distant,563,4,42,107,377,–,32,563,1,13.25,42.50
KENT COUNTY MIDDLE SCHOOL,Maryland,MD ,Kent County Middle School,Kent County Public Schools,1-Regular school,32-Town: Distant,416,3,32,86,264,–,29,416,2,11.54,36.04
KENT ISLAND ELEMENTARY SCHOOL,Maryland,MD ,Kent Island Elementary School,Queen Anne's County Public Schools,1-Regular school,21-Suburb: Large,462,7,41,19,362,–,32,462,1,15.93,29.00
KENT ISLAND HIGH SCHOOL,Maryland,MD ,Kent Island High School,Queen Anne's County Public Schools,1-Regular school,21-Suburb: Large,1222,21,80,65,992,2,59,1222,3,15.87,77.00
KENWOOD HIGH,Maryland,MD ,Kenwood High IB and Sports Science,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,1622,36,150,658,669,3,98,1622,8,16.64,97.50
KETTERING ELEMENTARY,Maryland,MD ,Kettering Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,435,1,28,394,6,2,3,435,1,16.93,25.70
KETTERING MIDDLE,Maryland,MD ,Kettering Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,754,10,88,636,11,2,7,754,–,14.50,52.00
KINGSFORD ELEMENTARY,Maryland,MD ,Kingsford Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,529,9,38,467,7,–,7,529,1,14.35,36.86
KINGSVIEW MIDDLE,Maryland,MD ,Kingsview Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,996,244,146,261,281,–,62,996,2,16.44,60.60
KINGSVILLE ELEMENTARY,Maryland,MD ,Kingsville Elementary,Baltimore County Public Schools,1-Regular school,41-Rural: Fringe,316,9,10,3,289,–,5,316,–,15.27,20.70
KIPP HARMONY ACADEMY,Maryland,MD ,KIPP Harmony Academy,Baltimore City Public Schools,1-Regular school,11-City: Large,1519,2,24,1478,7,–,7,1519,1,17.07,89.00
LA PLATA HIGH SCHOOL,Maryland,MD ,La Plata High School,Charles County Public Schools,1-Regular school,41-Rural: Fringe,1152,40,52,216,771,–,68,1152,5,16.70,69.00
LAKE ARBOR ELEMENTARY,Maryland,MD ,Lake Arbor Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,557,2,10,536,1,–,7,557,1,18.11,30.76
LAKE ELKHORN MIDDLE,Maryland,MD ,Lake Elkhorn Middle,Howard County Public Schools,1-Regular school,13-City: Small,578,55,105,296,80,–,42,578,–,11.22,51.50
LAKE SENECA ELEMENTARY,Maryland,MD ,Lake Seneca Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,516,19,214,196,63,1,22,516,1,12.71,40.60
LAKE SHORE ELEMENTARY,Maryland,MD ,Lake Shore Elementary,Anne Arundel County Public Schools,1-Regular school,41-Rural: Fringe,316,2,24,2,278,–,10,316,–,14.04,22.50
LAKELAND ELEMENTARY/MIDDLE,Maryland,MD ,Lakeland Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,909,4,511,350,36,1,7,909,–,16.68,54.50
LAKELANDS PARK MIDDLE,Maryland,MD ,Lakelands Park Middle,Montgomery County Public Schools,1-Regular school,13-City: Small,1121,161,262,185,444,–,69,1121,–,15.53,72.20
LAKEWOOD ELEMENTARY,Maryland,MD ,Lakewood Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,105,–,6,96,2,–,1,105,–,9.55,11.00
LAKEWOOD ELEMENTARY,Maryland,MD ,Lakewood Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,476,219,42,62,120,1,29,476,3,16.64,28.60
LAMONT ELEMENTARY,Maryland,MD ,Lamont Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,522,13,348,141,16,1,3,522,–,12.70,41.10
LANGLEY PARK/MCCORMICK ELEMENTARY,Maryland,MD ,Langley Park/McCormick Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,848,3,793,36,13,–,1,848,2,13.98,60.64
LANSDOWNE ELEMENTARY,Maryland,MD ,Lansdowne Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,600,35,136,131,240,–,48,600,10,15.54,38.60
LANSDOWNE HIGH,Maryland,MD ,Lansdowne High & Academy of Finance,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,1291,109,279,325,523,1,51,1291,3,14.51,89.00
LANSDOWNE MIDDLE,Maryland,MD ,Lansdowne Middle,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,787,71,223,221,214,1,47,787,10,15.74,50.00
LARGO HIGH,Maryland,MD ,Largo High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,843,8,64,753,3,1,12,843,2,15.33,55.00
LAUREL ELEMENTARY,Maryland,MD ,Laurel Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,613,16,359,195,25,1,17,613,–,15.21,40.30
LAUREL HIGH,Maryland,MD ,Laurel High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,1845,95,620,1007,75,6,38,1845,4,16.18,114.00
LAUREL WOODS ELEMENTARY,Maryland,MD ,Laurel Woods Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,607,64,154,313,38,1,35,607,2,11.90,51.00
LAYTONSVILLE ELEMENTARY,Maryland,MD ,Laytonsville Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,384,30,85,68,168,1,32,384,–,13.96,27.50
LEEDS ELEMENTARY,Maryland,MD ,Leeds Elementary,Cecil County Public Schools,1-Regular school,41-Rural: Fringe,378,–,26,5,324,–,23,378,–,14.59,25.90
LEITH WALK ELEMENTARY/MIDDLE,Maryland,MD ,Leith Walk Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,1054,3,54,982,7,2,6,1054,–,18.65,56.50
LEONARDTOWN ELEMENTARY,Maryland,MD ,Leonardtown Elementary,St. Mary's County Public Schools,1-Regular school,31-Town: Fringe,465,9,23,65,340,–,28,465,–,16.52,28.15
LEONARDTOWN HIGH,Maryland,MD ,Leonardtown High,St. Mary's County Public Schools,1-Regular school,41-Rural: Fringe,1796,64,105,165,1338,5,112,1796,7,20.57,87.30
LEONARDTOWN MIDDLE,Maryland,MD ,Leonardtown Middle,St. Mary's County Public Schools,1-Regular school,41-Rural: Fringe,1054,22,55,80,822,1,73,1054,1,18.62,56.60
LETTIE MARSHALL DENT ELEM,Maryland,MD ,Lettie Marshall Dent Elem,St. Mary's County Public Schools,1-Regular school,41-Rural: Fringe,595,5,15,26,520,–,27,595,2,18.54,32.10
LEWISDALE ELEMENTARY,Maryland,MD ,Lewisdale Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,652,6,581,61,2,–,–,652,2,12.81,50.90
LEWISTOWN ELEMENTARY,Maryland,MD ,Lewistown Elementary,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,184,–,25,9,134,–,16,184,–,12.00,15.33
LEXINGTON PARK ELEMENTARY,Maryland,MD ,Lexington Park Elementary,St. Mary's County Public Schools,1-Regular school,13-City: Small,519,32,61,190,177,3,53,519,3,15.45,33.60
LIBERTY ELEMENTARY,Maryland,MD ,Liberty Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,479,–,10,464,3,–,2,479,–,17.11,28.00
LIBERTY ELEMENTARY,Maryland,MD ,Liberty Elementary,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,262,2,18,1,223,–,17,262,1,15.98,16.40
LIBERTY HIGH,Maryland,MD ,Liberty High,Carroll County Public Schools,1-Regular school,23-Suburb: Small,1049,38,60,30,886,5,28,1049,2,17.58,59.67
LILLIE MAY CARROLL JACKSON SCHOOL,MARYLAND,MD ,Lillie May Carroll Jackson School,Baltimore City Public Schools,1-Regular school,11-City: Large,277,–,9,265,2,–,1,277,–,19.10,14.50
LIME KILN MIDDLE,Maryland,MD ,Lime Kiln Middle,Howard County Public Schools,1-Regular school,41-Rural: Fringe,632,170,29,77,317,–,38,632,1,13.45,47.00
LINCOLN ELEMENTARY,Maryland,MD ,Lincoln Elementary,Frederick County Public Schools,1-Regular school,13-City: Small,583,29,222,198,81,–,51,583,2,14.15,41.19
LINCOLNSHIRE ELEMENTARY,Maryland,MD ,Lincolnshire Elementary,Washingtion County Public Schools,1-Regular school,22-Suburb: Mid-size,545,7,48,84,352,–,53,545,1,13.97,39.00
LINDALE MIDDLE,Maryland,MD ,Lindale Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,1129,67,206,307,476,4,65,1129,4,13.95,80.96
LINGANORE HIGH,Maryland,MD ,Linganore High,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,1324,16,85,28,1144,3,44,1324,4,18.01,73.50
LINTHICUM ELEMENTARY,Maryland,MD ,Linthicum Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,481,24,39,28,371,1,16,481,2,16.36,29.40
LINTON SPRINGS ELEMENTARY,Maryland,MD ,Linton Springs Elementary,Carroll County Public Schools,1-Regular school,41-Rural: Fringe,620,23,23,16,537,3,17,620,1,16.62,37.30
LISBON ELEMENTARY,Maryland,MD ,Lisbon Elementary,Howard County Public Schools,1-Regular school,41-Rural: Fringe,451,14,39,10,356,–,32,451,–,13.67,33.00
LITTLE BENNETT ELEMENTARY,Maryland,MD ,Little Bennett Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,614,181,98,136,149,–,47,614,3,14.76,41.60
LOCH RAVEN HIGH,Maryland,MD ,Loch Raven High,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,870,40,47,355,388,1,38,870,1,15.54,56.00
LOCH RAVEN TECHNICAL ACADEMY,Maryland,MD ,Loch Raven Technical Academy,Baltimore County Public Schools,1-Regular school,13-City: Small,769,27,58,501,141,2,37,769,3,15.08,51.00
LOCKERMAN BUNDY ELEMENTARY,Maryland,MD ,Lockerman Bundy Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,266,1,3,261,–,–,1,266,–,20.46,13.00
LOCKERMAN MIDDLE SCHOOL,Maryland,MD ,Lockerman Middle School,Caroline County Public Schools,1-Regular school,32-Town: Distant,892,10,142,95,576,–,69,892,–,16.22,55.00
LOGAN ELEMENTARY,Maryland,MD ,Logan Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,584,11,76,190,246,–,58,584,3,14.07,41.50
LOIS P. ROCKWELL ELEMENTARY,Maryland,MD ,Lois P. Rockwell Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,474,52,122,50,215,1,32,474,2,14.81,32.00
LOIS T. MURRAY ELEMENTARY/MIDDLE,Maryland,MD ,Lois T. Murray Elementary/Middle,Baltimore City Public Schools,2-Special education school,11-City: Large,48,–,5,36,6,–,–,48,1,3.69,13.00
LONG REACH HIGH,Maryland,MD ,Long Reach High,Howard County Public Schools,1-Regular school,13-City: Small,1554,228,305,535,381,1,101,1554,3,13.17,118.00
LONGFELLOW ELEMENTARY,Maryland,MD ,Longfellow Elementary,Howard County Public Schools,1-Regular school,13-City: Small,460,43,104,157,104,2,49,460,1,11.22,41.00
LONGFIELDS ELEMENTARY,Maryland,MD ,Longfields Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,283,1,52,217,8,1,2,283,2,13.32,21.24
LONGVIEW SCHOOL,Maryland,MD ,Longview School,Montgomery County Public Schools,2-Special education school,21-Suburb: Large,56,6,18,16,16,–,–,56,–,5.54,10.10
LOTHIAN ELEMENTARY,Maryland,MD ,Lothian Elementary,Anne Arundel County Public Schools,1-Regular school,41-Rural: Fringe,482,3,138,46,244,–,47,482,4,13.62,35.40
LUCY V. BARNSLEY ELEMENTARY,Maryland,MD ,Lucy V. Barnsley Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,721,101,244,71,253,–,50,721,2,13.81,52.20
LUTHERVILLE LABORATORY,Maryland,MD ,Lutherville Laboratory,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,374,52,23,77,196,1,25,374,–,14.61,25.60
LUXMANOR ELEMENTARY,Maryland,MD ,Luxmanor Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,576,132,123,86,206,–,29,576,–,15.74,36.60
LYONS MILL ELEMENTARY,MARYLAND,MD ,Lyons Mill Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,793,92,12,617,32,–,34,793,6,17.90,44.30
MACARTHUR MIDDLE,Maryland,MD ,MacArthur Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,957,44,133,514,185,8,68,957,5,12.37,77.38
MACE'S LANE MIDDLE SCHOOL,Maryland,MD ,Mace's Lane Middle School,Dorchester County Public Schools,1-Regular school,32-Town: Distant,558,7,45,361,84,1,59,558,1,13.32,41.90
MAGNOLIA ELEMENTARY,Maryland,MD ,Magnolia Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,517,34,91,367,15,3,2,517,5,16.73,30.90
MAGNOLIA ELEMENTARY,Maryland,MD ,Magnolia Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,568,3,69,368,61,–,65,568,2,13.60,41.75
MAGNOLIA MIDDLE,Maryland,MD ,Magnolia Middle,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,765,13,89,384,221,2,56,765,–,12.80,59.76
MAGOTHY RIVER MIDDLE,Maryland,MD ,Magothy River Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,727,15,58,44,557,2,50,727,1,14.63,49.70
MAIDEN CHOICE SCHOOL,Maryland,MD ,Maiden Choice School,Baltimore County Public Schools,2-Special education school,21-Suburb: Large,131,13,7,71,33,–,7,131,–,6.55,20.00
MALCOLM ELEMENTARY SCHOOL,Maryland,MD ,Malcolm Elementary School,Charles County Public Schools,1-Regular school,41-Rural: Fringe,442,2,36,158,188,4,54,442,–,16.50,26.78
MANCHESTER ELEMENTARY,Maryland,MD ,Manchester Elementary,Carroll County Public Schools,1-Regular school,31-Town: Fringe,644,11,34,9,574,1,14,644,1,15.56,41.40
MANCHESTER VALLEY HIGH,Maryland,MD ,Manchester Valley High,Carroll County Public Schools,1-Regular school,31-Town: Fringe,1304,25,59,35,1166,–,16,1304,3,17.16,76.00
MANOR VIEW ELEMENTARY,Maryland,MD ,Manor View Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,286,8,59,70,106,3,39,286,1,11.82,24.20
MANOR WOODS ELEMENTARY,Maryland,MD ,Manor Woods Elementary,Howard County Public Schools,1-Regular school,41-Rural: Fringe,650,307,33,57,229,–,23,650,1,14.77,44.00
MAPLE ELEMENTARY SCHOOL,Maryland,MD ,Maple Elementary School,Dorchester County Public Schools,1-Regular school,41-Rural: Fringe,478,15,75,261,86,–,41,478,–,11.38,42.00
MARDELA MIDDLE & HIGH,Maryland,MD ,Mardela Middle & High,Wicomico County Public Schools,1-Regular school,41-Rural: Fringe,676,2,22,96,515,–,40,676,1,13.60,49.70
MAREE GARNETT FARRING ELEMENTARY/MIDDLE,Maryland,MD ,Maree Garnett Farring Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,743,18,298,246,167,–,13,743,1,17.28,43.00
MARGARET BRENT ELEMENTARY/MIDDLE,Maryland,MD ,Margaret Brent Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,330,4,77,205,31,11,2,330,–,15.71,21.00
MARGARET BRENT MIDDLE,Maryland,MD ,Margaret Brent Middle,St. Mary's County Public Schools,1-Regular school,41-Rural: Fringe,999,7,35,75,825,2,54,999,1,18.13,55.10
MARGARET BRENT REGIONAL CENTER,Maryland,MD ,Margaret Brent Regional Center,Prince George's County Public Schools,2-Special education school,21-Suburb: Large,73,–,25,45,3,–,–,73,–,4.56,16.00
MARLEY ELEMENTARY,Maryland,MD ,Marley Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,852,58,214,238,259,4,74,852,5,16.29,52.30
MARLEY GLEN SCHOOL,Maryland,MD ,Marley Glen School,Anne Arundel County Public Schools,2-Special education school,21-Suburb: Large,136,8,16,25,82,–,4,136,1,7.23,18.80
MARLEY MIDDLE,Maryland,MD ,Marley Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,842,34,201,223,326,3,53,842,2,12.47,67.50
MARLTON ELEMENTARY,Maryland,MD ,Marlton Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,287,1,16,248,13,–,5,287,4,12.53,22.90
MARRIOTTS RIDGE HIGH,Maryland,MD ,Marriotts Ridge High,Howard County Public Schools,1-Regular school,41-Rural: Fringe,1419,499,40,138,684,–,56,1419,2,16.31,87.00
MARS ESTATES ELEMENTARY,Maryland,MD ,Mars Estates Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,384,13,47,221,68,–,33,384,2,12.59,30.50
MARSHALL STREET SCHOOL,Maryland,MD ,Marshall Street School,Washingtion County Public Schools,2-Special education school,13-City: Small,46,4,2,10,25,–,5,46,–,3.41,13.50
MARTIN BOULEVARD ELEMENTARY,Maryland,MD ,Martin Boulevard Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,295,3,57,112,87,–,33,295,3,14.05,21.00
MARTIN LUTHER KING JR. MIDDLE,Maryland,MD ,Martin Luther King Jr. Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,907,60,318,452,39,8,28,907,2,19.30,47.00
MARTIN LUTHER KING JR. MIDDLE,Maryland,MD ,Martin Luther King Jr. Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,648,78,207,244,87,–,31,648,1,14.86,43.60
MARY ANN WINTERLING ELEMENTARY AT BENTALOU,Maryland,MD ,Mary Ann Winterling Elementary at Bentalou,Baltimore City Public Schools,1-Regular school,11-City: Large,245,–,1,238,–,–,5,245,1,14.41,17.00
MARY B. NEAL ELEMENTARY SCHOOL,Maryland,MD ,Mary B. Neal Elementary School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,715,34,55,548,40,–,37,715,1,15.81,45.22
MARY E. RODMAN ELEMENTARY,Maryland,MD ,Mary E. Rodman Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,274,1,7,260,2,–,3,274,1,15.22,18.00
MARY H. MATULA ELEMENTARY SCHOOL,Maryland,MD ,Mary H. Matula Elementary School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,809,33,70,426,215,–,61,809,4,18.37,44.05
MARY HARRIS MOTHER JONES ELEMENTARY,Maryland,MD ,Mary Harris "Mother" Jones Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,1011,11,924,61,8,–,5,1011,2,14.04,72.00
MARY MOSS AT ADAMS ACADEMY,MARYLAND,MD ,Mary Moss at Adams Academy,Anne Arundel County Public Schools,4-Alternative Education School,21-Suburb: Large,36,–,6,16,10,–,4,36,–,1.35,26.60
MARYLAND CITY ELEMENTARY,Maryland,MD ,Maryland City Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,425,6,210,172,18,–,18,425,1,13.28,32.00
MARYVALE ELEMENTARY,Maryland,MD ,Maryvale Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,617,68,205,155,140,–,47,617,2,14.25,43.30
MATAPEAKE ELEMENTARY SCHOOL,Maryland,MD ,Matapeake Elementary School,Queen Anne's County Public Schools,1-Regular school,41-Rural: Fringe,466,3,28,9,401,–,24,466,1,15.79,29.52
MATAPEAKE MIDDLE SCHOOL,Maryland,MD ,Matapeake Middle School,Queen Anne's County Public Schools,1-Regular school,41-Rural: Fringe,359,9,24,9,297,1,19,359,–,14.08,25.50
MATTAPONI ELEMENTARY,Maryland,MD ,Mattaponi Elementary,Prince George's County Public Schools,1-Regular school,41-Rural: Fringe,382,3,13,314,23,2,23,382,4,15.79,24.20
MATTAWOMAN MIDDLE SCHOOL,Maryland,MD ,Mattawoman Middle School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,996,50,90,737,69,2,45,996,3,15.86,62.80
MATTHEW A. HENSON ELEMENTARY,Maryland,MD ,Matthew A. Henson Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,359,1,4,348,5,–,–,359,1,17.10,21.00
MATTHEW HENSON MIDDLE SCHOOL,Maryland,MD ,Matthew Henson Middle School,Charles County Public Schools,1-Regular school,41-Rural: Fringe,782,22,58,548,95,2,56,782,1,16.52,47.34
MAUGANSVILLE ELEMENTARY,Maryland,MD ,Maugansville Elementary,Washingtion County Public Schools,1-Regular school,22-Suburb: Mid-size,695,21,89,90,440,–,55,695,–,15.51,44.80
MAURICE J. MCDONOUGH HIGH SCHOOL,Maryland,MD ,Maurice J. McDonough High School,Charles County Public Schools,1-Regular school,41-Rural: Fringe,872,14,88,417,294,–,58,872,1,15.17,57.50
MAYA ANGELOU FRENCH IMMERSION,Maryland,MD ,Maya Angelou French Immersion,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,477,10,10,444,7,–,6,477,–,13.07,36.50
MAYFIELD WOODS MIDDLE,Maryland,MD ,Mayfield Woods Middle,Howard County Public Schools,1-Regular school,21-Suburb: Large,725,97,184,213,202,1,27,725,1,13.28,54.60
MAYO ELEMENTARY,Maryland,MD ,Mayo Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,320,4,23,13,265,–,15,320,–,14.61,21.90
MAYS CHAPEL ELEMENTARY,MARYLAND,MD ,Mays Chapel Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,747,140,101,121,340,–,41,747,4,16.79,44.50
MCCORMICK ELEMENTARY,Maryland,MD ,McCormick Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,334,4,14,280,13,1,22,334,–,15.46,21.60
MCPS TRANSITIONS SCHOOL,Maryland,MD ,MCPS Transitions School,Montgomery County Public Schools,2-Special education school,21-Suburb: Large,57,7,13,21,14,–,2,57,–,†,–
MEADE HEIGHTS ELEMENTARY,Maryland,MD ,Meade Heights Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,399,3,49,239,70,–,36,399,2,13.00,30.70
MEADE HIGH,Maryland,MD ,Meade High,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,2039,95,468,1054,285,8,122,2039,7,16.33,124.90
MEADE MIDDLE,Maryland,MD ,Meade Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,716,33,230,344,64,1,42,716,2,12.84,55.76
MEADOW HALL ELEMENTARY,Maryland,MD ,Meadow Hall Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,431,35,235,51,78,–,30,431,2,12.57,34.30
MEADOWOOD EDUCATION CENTER,Maryland,MD ,Meadowood Education Center,Baltimore County Public Schools,4-Alternative Education School,21-Suburb: Large,36,–,1,33,1,–,1,36,–,4.80,7.50
MEADOWVALE ELEMENTARY,Maryland,MD ,Meadowvale Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,520,2,35,74,354,–,53,520,2,16.07,32.35
MECHANICSVILLE ELEMENTARY,Maryland,MD ,Mechanicsville Elementary,Carroll County Public Schools,1-Regular school,41-Rural: Fringe,495,7,15,14,440,3,16,495,–,15.52,31.90
MECHANICSVILLE ELEMENTARY,Maryland,MD ,Mechanicsville Elementary,St. Mary's County Public Schools,1-Regular school,41-Rural: Fringe,304,–,17,16,251,–,18,304,2,14.24,21.35
